node_id,x,y,z,module,root_id
177,630678,167900,97180,14,720575940604008672
178,433992,273152,180700,11,720575940604009952
179,633824,192800,214040,5,720575940604014508
180,555948,144894,142300,6,720575940604019424
181,587424,298876,90800,5,720575940604021425
182,610176,332672,64280,7,720575940604030566
183,605348,208796,191640,5,720575940604031678
184,535850,164638,129140,6,720575940604033708
185,417984,124448,208800,13,720575940604050110
186,719109,219821,72576,2,720575940604056544
187,467552,164448,197480,6,720575940604064958
188,472658,177696,191240,25,720575940604065470
189,595808,171488,188480,6,720575940604067761
190,445106,166932,89120,17,720575940604074174
191,632992,312096,170880,3,720575940604074854
192,728960,223520,89680,8,720575940604076734
193,509754,331040,207900,1,720575940604079532
194,694068,175202,110600,2,720575940604088288
195,423640,170220,174800,13,720575940604093984
196,419206,189122,88360,36,720575940604099006
197,654324,205832,178240,2,720575940604100785
198,497406,116772,144560,10,720575940604102880
199,441816,160752,174800,13,720575940604103200
200,468088,187592,194200,1,720575940604104625
201,633904,195040,55680,36,720575940604106272
202,563872,132096,167120,6,720575940604110513
203,707964,271477,75453,2,720575940604114604
204,573248,140000,172680,25,720575940604125105
205,546536,172008,126600,51,720575940604125886
206,421584,154946,217780,13,720575940604126129
207,445536,299360,50480,20,720575940604130481
208,464928,168864,225640,13,720575940604131296
209,468672,111488,187480,13,720575940604132710
210,365120,279968,107320,3,720575940604134577
211,456286,285868,52620,11,720575940604139180
212,715408,186068,110680,8,720575940604147633
213,551244,327036,109440,7,720575940604150560
214,576166,182566,187920,32,720575940604157361
215,409380,192835,221347,16,720575940604160172
216,442882,97700,170120,12,720575940604163761
217,472576,213980,124600,18,720575940604165856
218,632512,335296,113960,1,720575940604167712
219,472960,114496,193600,13,720575940604168224
220,407540,148924,196920,44,720575940604174438
221,463896,127444,192760,13,720575940604182374
222,487840,120256,179200,20,720575940604195360
223,607468,167088,83440,15,720575940604196064
224,526428,353508,192680,21,720575940604201830
225,591608,129416,135620,2,720575940604222944
226,561152,346592,204200,22,720575940604228454
227,495680,128448,172920,41,720575940604240230
228,732096,192864,95400,8,720575940604240416
