step,global_step,phase,target,full_prediction,sole_eye_prediction,sole_speech_prediction,neither_prediction,blink(40,100)_prediction,stutter(120,220)_prediction,message_norm,message_0,message_1,message_2,message_3,message_4,message_5,message_6,message_7
0,0,0.0,0.0,-0.06842430680990219,-0.06842430680990219,-0.06842430680990219,-0.06842430680990219,-0.06842430680990219,-0.06842430680990219,0.5854241847991943,0.2275128811597824,0.029885977506637573,-0.5226693153381348,0.05411487817764282,-0.06286728382110596,0.09629099071025848,0.009495660662651062,-0.025301003828644753
1,1,0.19634954631328583,0.06718426942825317,0.30162692070007324,-0.008222732692956924,0.24137651920318604,-0.06842430680990219,0.30162692070007324,0.30162692070007324,0.691931426525116,0.15731769800186157,-0.12241120636463165,-0.6114590764045715,0.16846963763237,-0.03389313071966171,-0.05020088702440262,0.08391127735376358,0.16143575310707092
2,2,0.39269909262657166,0.11055777966976166,0.06186448410153389,-0.0020841173827648163,0.18112505972385406,-0.06842430680990219,0.06186448410153389,0.06186448410153389,0.5126426815986633,0.054881442338228226,-0.12626159191131592,-0.45585811138153076,0.12277957051992416,0.03657021373510361,-0.02664906531572342,0.12269800901412964,-0.06216740608215332
3,3,0.5890486240386963,0.13165560364723206,0.04065936431288719,0.030623499304056168,0.20045210421085358,-0.06842430680990219,0.04065936431288719,0.04065936431288719,0.6034331321716309,0.08895792067050934,-0.14898699522018433,-0.5699566602706909,0.0842384397983551,-5.7466328144073486e-05,0.008470544591546059,0.034647393971681595,-0.028319112956523895
4,4,0.7853981852531433,0.14802174270153046,0.11946763843297958,0.02043064311146736,0.21646426618099213,-0.06842430680990219,0.11946763843297958,0.11946763843297958,0.6791725754737854,0.08821062743663788,-0.19762280583381653,-0.6082205772399902,0.16723644733428955,-0.05693378672003746,-0.02839156612753868,0.08336266875267029,0.07444704324007034
5,5,0.9817477464675903,0.16604915261268616,0.19234374165534973,0.04373989626765251,0.23213830590248108,-0.06842430680990219,0.19234374165534973,0.19234374165534973,0.6261644959449768,0.09479175508022308,-0.21389952301979065,-0.5202678442001343,0.19748014211654663,-0.07944060117006302,-0.0016491804271936417,0.11259965598583221,0.09313531965017319
6,6,1.1780972480773926,0.1764635443687439,0.20560768246650696,0.03910674527287483,0.2510932385921478,-0.06842430680990219,0.20560768246650696,0.20560768246650696,0.562153697013855,0.1095350831747055,-0.17817986011505127,-0.46302515268325806,0.17537060379981995,-0.06850646436214447,0.024600913748145103,0.12551335990428925,0.0779213234782219
7,7,1.3744468688964844,0.1745682954788208,0.20171710848808289,0.05230269953608513,0.27419719099998474,-0.06842430680990219,0.20171710848808289,0.20171710848808289,0.5467365384101868,0.12262540310621262,-0.147476926445961,-0.4656674265861511,0.15431220829486847,-0.05040065944194794,0.030611641705036163,0.11343226581811905,0.07163675874471664
8,8,1.5707963705062866,0.16988767683506012,0.19183139503002167,0.03906844183802605,0.2973112165927887,-0.06842430680990219,0.19183139503002167,0.19183139503002167,0.5545773506164551,0.12461288273334503,-0.1389600783586502,-0.4831017851829529,0.1478343904018402,-0.04002067446708679,0.020377932116389275,0.10509000718593597,0.0664428174495697
9,9,1.7671458721160889,0.17098253965377808,0.1822429597377777,0.04657091572880745,0.320283979177475,-0.06842430680990219,0.1822429597377777,0.1822429597377777,0.563847541809082,0.12206068634986877,-0.14320148527622223,-0.4958314895629883,0.14692185819149017,-0.03817407786846161,0.01275195274502039,0.09971188753843307,0.05934092402458191
