node_id,module,x,y,z,out_degree,pagerank,hodge,pca1,pca2,cluster
1,3,376168,214326,76240,18,0.000406234581345,-0.5421231362861306,0.0310738633131372,0.0721871520991685,8
2,46,558260,333872,193800,2,0.0250777108134468,0.6818181818181788,-0.7710495815712954,-0.9002233720482407,1
3,21,386386,292214,121260,22,0.0011481603813455,-0.125937112827822,-0.4469368665519224,-0.7064593332499159,8
4,11,618936,262556,95280,11,0.0003446837067669,-0.5977789186176313,-0.7782311114738564,1.405470084049222,9
5,14,637136,171048,143760,7,0.0001886875287069,-0.2754237423520473,0.2927773079812846,1.0547120589579326,2
6,14,636140,167836,143760,5,0.0001009012082055,-0.1274988295155528,0.2477540298883233,0.9272379064134576,2
7,14,630860,177380,143760,10,0.0001074553967893,-0.1267981659746076,0.137938642125034,0.8386247722353131,2
8,11,608016,239364,186040,30,0.0004809736205542,0.2419479350593491,-0.2584463363216595,-0.1847655861780808,8
9,21,421880,264572,70480,45,0.0034137529252438,-0.8371493902508214,-0.6393627449383708,0.3455916480440965,8
10,6,501172,154908,178760,26,0.0012326777797766,-0.3110799092878829,1.0627632314707387,-0.066576422501094,4
11,19,452578,186230,76200,27,0.0017542319432366,-0.031134088103427,-0.3618417856436448,-0.0246139110139767,8
12,6,483234,188204,194160,6,0.0003331630936787,0.0201662343893437,0.982250594310008,-0.4603374896392346,4
13,13,467572,114936,184100,12,0.0001079456951973,-0.0957213469240451,1.5427741254308558,-0.3227082934569849,4
14,13,423872,128288,212160,6,8.254884421566405e-05,0.0927615548110247,1.8057702346403453,-0.903644030797956,4
15,6,580618,171728,180960,26,0.0006991416766067,0.129968672069435,0.4349794944082697,-0.0720036646125301,8
16,12,312448,154656,145160,5,0.0002128422198022,0.143343565400348,1.159134949358671,-1.2024983488176226,0
17,21,687428,293940,76760,48,0.0021623138667873,-0.5097807231978975,-1.83416336266324,1.461029398899647,3
18,21,655084,287352,103940,0,0.0004633406996528,-0.8965184575149594,-0.7071878945053502,1.911748786321676,9
19,21,722984,168142,120700,31,0.0007521637743562,0.0380857458810507,-0.6050108352727802,1.1856919217357949,9
20,19,483276,207408,225240,14,0.001472236296231,-0.8164399994412124,1.6175991722044576,0.0570325702335845,4
21,6,487372,159760,179480,25,0.0005890947325968,0.1010058722087522,0.8205198799638092,-0.5487449774506028,0
22,1,611096,170692,83440,5,0.0001529758891582,0.41804659870058,-0.7054878303209675,0.6294721164993248,9
23,3,369088,143360,205520,14,0.0002075282068713,-0.3203004165514259,1.955682263178105,-0.8686362139180607,4
24,8,728544,222272,84560,72,0.0003010792268448,0.9903321539795236,-2.4407238493957943,0.0854647741350313,3
25,5,667504,303164,72440,17,0.0004393470724473,-0.3376805621209497,-1.7268165762720484,1.468252989633262,3
