dimension,original,null_mean,null_std,null_max,z_score,excess,excess_ratio
0,100,100.0,0.0,100,0.0,0.0,1.0
1,483,468.0,14.127986409959489,485,1.0617224255981579,15.0,1.0320512820512822
2,91,89.0,13.251415018781957,102,0.15092727811824552,2.0,1.0224719101123596
3,0,0.6,0.48989794855663565,1,-1.224744871391589,-0.6,0.0
4,0,0.0,0.0,0,0.0,0.0,inf
5,0,0.0,0.0,0,0.0,0.0,inf
6,0,0.0,0.0,0,0.0,0.0,inf
